Waldort,WE-Typ,U,I_A,W_S,SW,STOE,VTYP,UELH,UENH,VB
059G1,WO,0,0,0,0,0,0,0,0,0
059G2,WO,0,0,0,0,0,0,0,0,0
059G3,WO,0,0,0,0,0,0,0,0,0
059H1,WO,0,0,0,0,0,0,0,0,0
059H2,WO,0,0,0,0,0,0,0,0,0
059H3,WO,0,0,0,0,0,0,0,0,0
059H4,WO,0,0,0,0,0,0,0,0,0
059I1,WO,0,0,0,0,0,0,0,0,0
059I2,WO,0,0,0,0,0,0,0,0,0
059I3,WO,0,0,0,0,0,0,0,0,0
059I4,WO,0,0,0,0,0,0,0,0,0
059I5,WO,0,0,0,0,0,0,0,0,0
059J0,WO,0,0,0,0,0,0,0,0,0
059K1,WO,0,0,0,0,0,0,0,0,0
059K2,WO,0,0,0,0,0,0,0,0,0
059K3,WO,0,0,0,0,0,0,0,0,0
059L0,WO,0,0,0,0,0,0,0,0,0
05931,NG,0,0,0,0,0,0,0,0,0
05932,NG,0,0,0,0,0,0,0,0,0
05941,NG,0,0,0,0,0,0,0,0,0
05942,NG,0,0,0,0,0,0,0,0,0
060A0,WO,0,0,0,0,0,0,0,0,0
060B1,WO,0,0,0,0,0,0,0,0,0
060B2,WO,0,0,0,0,0,0,0,0,0
060B3,WO,0,0,0,0,0,0,0,0,0
060C1,WO,0,0,0,0,0,0,0,0,0
060C2,WO,0,0,0,0,0,0,0,0,0
060C3,WO,0,0,0,0,0,0,0,0,0
060C4,WO,0,0,0,0,0,0,0,0,0
060D1,WO,0,0,0,0,0,0,0,0,0
060D2,WO,0,0,0,0,0,0,0,0,0
060D3,WO,0,0,0,0,0,0,0,0,0
060E1,WO,0,A,O,S,0,0,0,0,0
060E2,WO,0,A,O,S,0,0,0,0,0
06031,NG,0,0,0,0,0,0,0,0,0
06081,NG,0,0,0,0,0,0,0,0,0
061A1,WO,0,0,0,0,0,0,0,0,0
061A2,WO,0,0,0,0,0,0,0,0,0
061A3,WO,0,0,0,0,0,0,0,0,0
061S0,WO,0,0,0,0,0,0,0,0,0
062A1,WO,0,0,0,0,0,0,0,0,0
062A2,WO,0,0,0,0,0,0,0,0,0
062A3,WO,0,0,0,0,0,0,0,0,0
062B1,WO,0,0,0,0,0,0,0,0,0
062B2,WO,0,0,0,0,0,0,0,0,0
062C0,WO,0,0,0,0,0,0,0,0,0
062D0,WO,0,0,0,0,0,0,0,0,0
062E1,WO,0,0,0,0,0,0,0,0,0
062E2,WO,0,0,0,0,0,0,0,0,0
062S0,WO,0,0,0,0,0,0,0,0,0
06231,NG,0,0,0,0,0,0,0,0,0
063A0,WO,0,0,0,0,0,0,0,0,0
063B0,WO,0,0,0,0,0,0,0,0,0
063C0,WO,0,0,0,0,0,0,0,0,0
063D1,WO,0,0,0,0,0,0,0,0,0
063D2,WO,0,0,0,0,0,0,0,0,0
063E1,WO,0,0,0,0,0,0,0,0,0
063E2,WO,0,0,0,0,0,0,0,0,0
063F1,WO,0,0,0,0,0,0,0,0,0
063F2,WO,0,0,0,0,0,0,0,0,0
063G1,WO,0,0,0,0,0,0,0,0,0
063G2,WO,0,0,0,0,0,0,0,0,0
063G3,WO,0,0,0,0,0,0,0,0,0
063G4,WO,0,0,0,0,0,0,0,0,0
063T0,WO,0,0,0,0,0,0,0,0,0
06331,NG,0,0,0,0,0,0,0,0,0
06332,NG,0,0,0,0,0,0,0,0,0
06341,NG,0,0,0,0,0,0,0,0,0
